Item,Vehicle,Vehicle Purchases,"Cars & Trucks, New","Cars & Trucks, Used",Gasoline,Other expenses,Vehicle Finance Charges,Maintenance & Repair,Vehicle Insurance,"Rental, Lease",Public Transportation
All consumer units,"9,576","4,054","1,900","2,101","1,968","2,842",220,954,967,700,712
> $15K,"3,401","1,176",524,638,864,"1,110",67,331,493,218,252
$15K -  $30K,"4,930","1,966",804,"1,148","1,218","1,462",87,485,556,334,284
$30K - $40K,"7,191","3,097","1,513","1,521","1,652","2,075",141,620,807,507,367
$40K -  $50K,"7,529","2,580",878,"1,694","1,818","2,703",170,743,"1,265",524,428
$50K - $70K,"9,545","4,218","1,603","2,575","2,045","2,740",215,875,"1,014",635,542
$70K - $100K,"10,795","4,322","1,770","2,460","2,488","3,259",282,990,"1,216",771,726
$100K -  $150K,"14,041","6,397","3,184","3,103","2,833","3,807",392,"1,289","1,064","1,062","1,005"
$150K - $200,"18,753","7,707","4,727","2,890","2,974","6,393",461,"3,088","1,214","1,630","1,680"
> $200,"23,342","11,212","6,126","5,007","3,155","6,052",438,"2,095","1,700","1,819","2,923"
